time,temperature,humidity,pressure,people
2020-07-08 10:10:00+00:00,28.2,43.0,1021.5,0.0
2020-07-08 10:15:00+00:00,28.1,43.25,1020.5,0.0
2020-07-08 10:20:00+00:00,28.0,43.3,1020.5,0.0
2020-07-08 10:25:00+00:00,28.0,43.2,1020.5,0.0
2020-07-08 10:30:00+00:00,28.05,43.1,1020.5,0.0
2020-07-08 10:35:00+00:00,28.1,42.9,1020.5,0.0
2020-07-08 10:40:00+00:00,28.05,42.8,1020.5,0.0
2020-07-08 10:45:00+00:00,28.15,42.5,1020.5,0.0
2020-07-08 10:50:00+00:00,28.15,42.3,1020.5,0.0
2020-07-08 10:55:00+00:00,28.15,41.9,1020.5,0.0
2020-07-08 11:00:00+00:00,28.2,41.8,1020.5,0.0
2020-07-08 11:05:00+00:00,28.15,41.6,1020.5,0.0
2020-07-08 11:10:00+00:00,28.3,41.5,1020.5,0.0
2020-07-08 11:15:00+00:00,28.25,41.4,1020.5,0.0
2020-07-08 11:20:00+00:00,28.4,41.2,1020.5,0.0
2020-07-08 11:25:00+00:00,28.4,41.3,1020.5,0.0
2020-07-08 11:30:00+00:00,28.35,41.2,1020.5,0.0
2020-07-08 11:35:00+00:00,28.45,41.0,1020.5,0.0
2020-07-08 11:40:00+00:00,28.5,41.05,1020.5,0.0
2020-07-08 11:45:00+00:00,28.5,41.0,1020.5,0.0
2020-07-08 11:50:00+00:00,28.6,40.95,1020.5,0.0
2020-07-08 11:55:00+00:00,28.7,40.8,1020.5,0.0
2020-07-08 12:00:00+00:00,28.7,40.9,1020.5,0.0
2020-07-08 12:05:00+00:00,28.65,40.849999999999994,1020.5,0.0
2020-07-08 12:10:00+00:00,28.8,40.8,1020.5,0.0
2020-07-08 12:15:00+00:00,28.75,40.650000000000006,1020.5,0.0
2020-07-08 12:20:00+00:00,28.85,40.8,1020.5,0.0
2020-07-08 12:25:00+00:00,28.9,40.9,1020.5,0.0
2020-07-08 12:30:00+00:00,28.95,40.8,1020.5,0.0
2020-07-08 12:35:00+00:00,28.95,40.7,1020.5,0.0
2020-07-08 12:40:00+00:00,29.0,40.7,1020.5,0.0
